time,location,seat id,status
08.32,理工馆-东楼一楼（博雅）,8,FREE
08.32,理工馆-东楼一楼（博雅）,6,FREE
08.32,理工馆-东楼一楼（博雅）,5,FREE
08.32,理工馆-东楼一楼（博雅）,7,FREE
08.32,理工馆-东楼一楼（博雅）,4,FREE
08.32,理工馆-东楼一楼（博雅）,1,IN_USE
08.32,理工馆-东楼一楼（博雅）,2,FREE
08.32,理工馆-东楼一楼（博雅）,3,FREE
08.32,理工馆-东楼一楼（博雅）,28,FREE
08.32,理工馆-东楼一楼（博雅）,26,IN_USE
08.32,理工馆-东楼一楼（博雅）,25,BOOKED
08.32,理工馆-东楼一楼（博雅）,27,FREE
08.32,理工馆-东楼一楼（博雅）,24,FREE
08.32,理工馆-东楼一楼（博雅）,21,FREE
08.32,理工馆-东楼一楼（博雅）,22,FREE
08.32,理工馆-东楼一楼（博雅）,23,FREE
08.32,理工馆-东楼一楼（博雅）,48,FREE
08.32,理工馆-东楼一楼（博雅）,46,FREE
08.32,理工馆-东楼一楼（博雅）,45,FREE
08.32,理工馆-东楼一楼（博雅）,47,FREE
08.32,理工馆-东楼一楼（博雅）,44,IN_USE
08.32,理工馆-东楼一楼（博雅）,41,FREE
08.32,理工馆-东楼一楼（博雅）,42,FREE
08.32,理工馆-东楼一楼（博雅）,43,FREE
08.32,理工馆-东楼一楼（博雅）,68,FREE
08.32,理工馆-东楼一楼（博雅）,66,FREE
08.32,理工馆-东楼一楼（博雅）,65,FREE
08.32,理工馆-东楼一楼（博雅）,67,FREE
08.32,理工馆-东楼一楼（博雅）,64,FREE
08.32,理工馆-东楼一楼（博雅）,61,FREE
08.32,理工馆-东楼一楼（博雅）,62,IN_USE
08.32,理工馆-东楼一楼（博雅）,63,FREE
08.32,理工馆-东楼一楼（博雅）,88,FREE
08.32,理工馆-东楼一楼（博雅）,86,FREE
08.32,理工馆-东楼一楼（博雅）,85,FREE
08.32,理工馆-东楼一楼（博雅）,87,FREE
08.32,理工馆-东楼一楼（博雅）,84,FREE
08.32,理工馆-东楼一楼（博雅）,81,FREE
08.32,理工馆-东楼一楼（博雅）,82,FREE
08.32,理工馆-东楼一楼（博雅）,83,FREE
08.32,理工馆-东楼一楼（博雅）,12,FREE
08.32,理工馆-东楼一楼（博雅）,14,FREE
08.32,理工馆-东楼一楼（博雅）,13,FREE
08.32,理工馆-东楼一楼（博雅）,11,FREE
08.32,理工馆-东楼一楼（博雅）,10,FREE
08.32,理工馆-东楼一楼（博雅）,9,FREE
08.32,理工馆-东楼一楼（博雅）,18,FREE
08.32,理工馆-东楼一楼（博雅）,20,FREE
08.32,理工馆-东楼一楼（博雅）,19,FREE
08.32,理工馆-东楼一楼（博雅）,17,FREE
08.32,理工馆-东楼一楼（博雅）,16,FREE
08.32,理工馆-东楼一楼（博雅）,15,FREE
08.32,理工馆-东楼一楼（博雅）,32,FREE
08.32,理工馆-东楼一楼（博雅）,34,FREE
08.32,理工馆-东楼一楼（博雅）,33,FREE
08.32,理工馆-东楼一楼（博雅）,31,FREE
08.32,理工馆-东楼一楼（博雅）,30,FREE
